_pd_block_id	_refln_index_h	_refln_index_k	_refln_index_l	_pd_refln_phase_id	_refln_d_spacing	_diffrn_radiation_wavelength
pattern_3	4	2	2	2	1.108797	0.8257653
pattern_3	4	4	0	2	0.960246	0.8257653
pattern_3	4	4	2	2	0.905329	0.8257653
pattern_3	4	4	4	2	0.784038	0.8257653
pattern_3	5	1	1	2	1.045384	0.8257653
pattern_3	5	3	1	2	0.918171	0.8257653
pattern_3	5	3	3	2	0.828368	0.8257653
pattern_3	6	2	0	2	0.858870	0.8257653
pattern_3	6	2	2	2	0.818901	0.8257653
pattern_4	0	0	6	1	2.166523	0.8257653
pattern_4	0	0	12	1	1.083262	0.8257653
pattern_4	1	0	-14	1	0.905830	0.8257653
pattern_4	1	0	-8	1	1.511756	0.8257653
pattern_4	1	0	-2	1	3.481929	0.8257653
pattern_4	1	0	4	1	2.552403	0.8257653
pattern_4	1	0	10	1	1.239771	0.8257653
pattern_4	1	0	16	1	0.797122	0.8257653
pattern_4	2	-1	0	1	2.380741	0.8257653
pattern_4	2	-1	3	1	2.086538	0.8257653
pattern_4	2	-1	6	1	1.602356	0.8257653
pattern_4	2	-1	9	1	1.234865	0.8257653
pattern_4	2	-1	12	1	0.985992	0.8257653
pattern_4	2	-1	15	1	0.814336	0.8257653
pattern_4	2	0	-10	1	1.099608	0.8257653
pattern_4	2	0	-4	1	1.740964	0.8257653
pattern_4	2	0	2	1	1.965272	0.8257653
pattern_4	2	0	8	1	1.276202	0.8257653
pattern_4	2	0	14	1	0.846619	0.8257653
pattern_4	3	-1	-14	1	0.797683	0.8257653
pattern_4	3	-1	-11	1	0.941661	0.8257653
pattern_4	3	-1	-8	1	1.124788	0.8257653
pattern_4	3	-1	-5	1	1.336758	0.8257653
pattern_4	3	-1	-2	1	1.515596	0.8257653
pattern_4	3	-1	1	1	1.547478	0.8257653
pattern_4	3	-1	4	1	1.405304	0.8257653
pattern_4	3	-1	7	1	1.193820	0.8257653
pattern_4	3	-1	10	1	0.998271	0.8257653
pattern_4	3	-1	13	1	0.841613	0.8257653
pattern_4	3	0	-12	1	0.850801	0.8257653
pattern_4	3	0	-6	1	1.160643	0.8257653
pattern_4	3	0	0	1	1.374522	0.8257653
pattern_4	3	0	6	1	1.160643	0.8257653
pattern_4	3	0	12	1	0.850801	0.8257653
pattern_4	4	-2	0	1	1.190371	0.8257653
pattern_4	4	-2	3	1	1.147844	0.8257653
pattern_4	4	-2	6	1	1.043269	0.8257653
pattern_4	4	-2	9	1	0.918600	0.8257653
pattern_4	4	-2	12	1	0.801178	0.8257653
pattern_4	4	-1	-10	1	0.858652	0.8257653
pattern_4	4	-1	-7	1	0.973809	0.8257653
pattern_4	4	-1	-4	1	1.078815	0.8257653
pattern_4	4	-1	-1	1	1.139270	0.8257653
pattern_4	4	-1	2	1	1.126367	0.8257653
pattern_4	4	-1	5	1	1.046857	0.8257653
pattern_4	4	-1	8	1	0.935240	0.8257653
pattern_4	4	-1	11	1	0.821826	0.8257653
pattern_4	4	0	-8	1	0.870482	0.8257653
pattern_4	4	0	-2	1	1.018164	0.8257653
pattern_4	4	0	4	1	0.982636	0.8257653
pattern_4	4	0	10	1	0.807724	0.8257653
pattern_4	5	-2	-8	1	0.817547	0.8257653
pattern_4	5	-2	-5	1	0.888987	0.8257653
pattern_4	5	-2	-2	1	0.936147	0.8257653
pattern_4	5	-2	1	1	0.943515	0.8257653
pattern_4	5	-2	4	1	0.908309	0.8257653
pattern_4	5	-2	7	1	0.842936	0.8257653
pattern_4	5	-2	10	1	0.764900	0.8257653
pattern_4	5	-1	-9	1	0.763743	0.8257653
pattern_4	5	-1	-6	1	0.831009	0.8257653
